City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
113,kismayo,-0.3582,42.5454,27.37,82,88,3.73,SO,1682380541
114,niksar,40.5917,36.9517,7.47,91,24,1.82,TR,1682380541
115,ta`u,-14.2336,-169.5144,28.0,75,29,3.95,AS,1682380542
116,shengli,37.4564,118.4856,12.56,61,100,4.54,CN,1682380542
117,ola,59.5833,151.2833,1.61,78,97,7.86,RU,1682380543
118,fuerte olimpo,-21.0415,-57.8738,25.2,72,69,2.78,PY,1682380543
119,praia da vitoria,38.7333,-27.0667,18.14,82,40,5.52,PT,1682380543
120,pisco,-13.7,-76.2167,23.03,78,2,9.77,PE,1682380544
121,escarcega,18.6089,-90.7454,29.82,54,99,3.51,MX,1682380545
122,lebu,-37.6167,-73.65,11.3,89,37,1.9,CL,1682380545
123,chapadinha,-3.7417,-43.3603,23.52,84,95,1.51,BR,1682380546
124,ilulissat,69.2167,-51.1,0.01,93,40,2.06,GL,1682380354
125,olonkinbyen,70.9221,-8.7187,-3.84,82,89,7.68,SJ,1682380546
126,hawaiian paradise park,19.5933,-154.9731,28.73,69,0,6.69,US,1682380470
127,qaqortoq,60.7167,-46.0333,1.13,87,28,3.34,GL,1682380547
128,utrik,11.2278,169.8474,27.04,81,94,10.33,MH,1682380548
129,horta,38.5333,-28.6333,17.23,95,57,6.71,PT,1682380548
130,west island,-12.1568,96.8225,26.99,74,40,8.23,CC,1682380549
131,katsuura,35.1333,140.3,17.01,48,34,5.19,JP,1682380549
132,longyearbyen,78.2186,15.6401,-10.09,73,0,4.12,SJ,1682380550
133,kerikeri,-35.2268,173.9474,18.28,74,4,2.8,NZ,1682380550
134,port elizabeth,-33.918,25.5701,18.16,96,100,4.12,ZA,1682380551
135,maumere,-8.6199,122.2111,27.58,80,33,1.71,ID,1682380551
136,hamilton,39.1834,-84.5333,10.0,44,0,2.57,US,1682380552
137,kolwezi,-10.7148,25.4667,14.18,90,84,1.9,CD,1682380552
138,benghazi,32.1167,20.0667,17.42,81,0,6.27,LY,1682380553
139,port mathurin,-19.6833,63.4167,25.79,83,100,8.65,MU,1682380553
140,kashary,49.04,41.0056,11.2,93,100,4.29,RU,1682380553
141,saint johnsbury,44.4192,-72.0151,7.95,95,100,0.0,US,1682380554
142,namibe,-15.1961,12.1522,23.17,72,60,2.92,AO,1682380554
143,tamanrasset,22.785,5.5228,20.95,13,0,2.06,DZ,1682380555
144,flying fish cove,-10.4217,105.6791,26.98,79,97,6.2,CX,1682380555
